game,combination,draw_date,jackpot_php,winners
4D Lotto,6-8-9-0,12/5/2018,45573.00,18
4D Lotto,3-8-0-9,12/7/2018,167640.00,4
4D Lotto,0-8-2-9,12/10/2018,10000.00,62
4D Lotto,4-5-6-5,12/12/2018,48855.00,16
4D Lotto,4-5-7-9,12/14/2018,37084.00,21
4D Lotto,1-2-5-8,12/17/2018,10000.00,111
4D Lotto,3-3-8-7,12/19/2018,86604.00,10
4D Lotto,0-5-7-7,12/21/2018,96760.00,8
4D Lotto,5-9-2-9,12/24/2018,39506.00,7
4D Lotto,8-6-3-5,12/26/2018,102906.00,7
4D Lotto,4-9-1-6,12/28/2018,25014.00,23
4D Lotto,1-3-1-0,12/31/2018,10000.00,45
4D Lotto,7-2-2-3,1/2/2019,11593.00,34
4D Lotto,8-1-8-0,1/4/2019,49127.00,15
4D Lotto,5-0-8-2,1/7/2019,45697.00,19
4D Lotto,1-9-8-8,1/9/2019,10000.00,119
4D Lotto,0-3-0-7,1/11/2019,36511.00,21
4D Lotto,7-3-2-7,1/14/2019,41327.00,10
4D Lotto,0-8-7-7,1/16/2019,33094.00,22
4D Lotto,9-4-5-7,1/18/2019,57408.00,13
4D Lotto,1-5-0-3,1/21/2019,39064.00,19
4D Lotto,0-1-8-3,1/23/2019,103034.00,8
4D Lotto,1-3-4-7,1/25/2019,19468.00,41
4D Lotto,7-4-9-0,1/28/2019,23643.00,37
4D Lotto,0-4-7-3,1/30/2019,89145.00,9
4D Lotto,0-4-0-4,2/1/2019,17974.00,42
